multijet_basis0_zhUp   1+( 0.007740)*np.array([ 1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000])
multijet_basis0_zhDown 1+(-0.007740)*np.array([ 1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000])
multijet_basis1_zhUp   1+( 0.050616)*np.array([ 0.6175,  0.4487,  0.2863,  0.1340, -0.0042, -0.1250, -0.2254, -0.3030, -0.3558, -0.3825, -0.3825, -0.3558, -0.3030, -0.2254, -0.1250, -0.0042,  0.1340,  0.2863,  0.4487,  0.6175])
multijet_basis1_zhDown 1+(-0.050616)*np.array([ 0.6175,  0.4487,  0.2863,  0.1340, -0.0042, -0.1250, -0.2254, -0.3030, -0.3558, -0.3825, -0.3825, -0.3558, -0.3030, -0.2254, -0.1250, -0.0042,  0.1340,  0.2863,  0.4487,  0.6175])
multijet_basis2_zhUp   1+( 0.030523)*np.array([-0.0446, -0.1005, -0.1435, -0.1728, -0.1875, -0.1873, -0.1723, -0.1427, -0.0993, -0.0432,  0.0243,  0.1014,  0.1863,  0.2769,  0.3710,  0.4662,  0.5603,  0.6508,  0.7355,  0.8125])
multijet_basis2_zhDown 1+(-0.030523)*np.array([-0.0446, -0.1005, -0.1435, -0.1728, -0.1875, -0.1873, -0.1723, -0.1427, -0.0993, -0.0432,  0.0243,  0.1014,  0.1863,  0.2769,  0.3710,  0.4662,  0.5603,  0.6508,  0.7355,  0.8125])
multijet_basis3_zhUp   1+( 0.016577)*np.array([-0.2312, -0.1158, -0.0080,  0.0794,  0.1369,  0.1595,  0.1464,  0.1020,  0.0344, -0.0446, -0.1213, -0.1815, -0.2120, -0.2019, -0.1443, -0.0368,  0.1180,  0.3125,  0.5346,  0.7688])
multijet_basis3_zhDown 1+(-0.016577)*np.array([-0.2312, -0.1158, -0.0080,  0.0794,  0.1369,  0.1595,  0.1464,  0.1020,  0.0344, -0.0446, -0.1213, -0.1815, -0.2120, -0.2019, -0.1443, -0.0368,  0.1180,  0.3125,  0.5346,  0.7688])
